count,mean,std,min,50%,max,t,p,r,f1,mcp,mcr,mcf1,batch_size,hashtag_split,svd,binary,tfidf_weights,save,save_results,lang,dataset,annotation,text+,remove_mentions,sub_model,model,window,distance,datetime_of_run,ami,ari,cluster_algo,daily
5113.0,18.73577156268336,223.29356822575537,1.0,1.0,9056.0,0.8,0.7764883716201515,0.7237682371793513,0.6467802497540055,0.8682634730538922,0.7254098360655737,0.7904340996935585,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_all_tweets,4352,cosine,,,,,
40224.0,2.381563245823389,17.16390547420783,1.0,1.0,1789.0,0.55,0.975393581957322,0.5478693176016024,0.6551802652493081,0.9824890556597874,0.9631147540983608,0.9727054403370357,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset,4352,cosine,,,,,
31338.0,3.056863871338311,25.886421075041063,1.0,1.0,2192.0,0.6,0.9643589967872817,0.6032540842689736,0.7004651788759724,0.973775017253278,0.9549180327868853,0.9642543419059364,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset,4352,cosine,,,,,
22035.0,4.347447243022464,38.92011957484489,1.0,1.0,2556.0,0.65,0.9485316490824056,0.6564230559287135,0.7385470381709861,0.959087332808812,0.930327868852459,0.9444887217916796,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset,4352,cosine,,,,,
13224.0,7.244101633393829,66.01899655338613,1.0,1.0,2928.0,0.7,0.9171813323512424,0.7117777345222371,0.7653737369995218,0.9366336633663368,0.918032786885246,0.9272399488911836,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset,4352,cosine,,,,,
6263.0,15.295545265847036,137.29398081471598,1.0,1.0,5534.0,0.75,0.8251821852734209,0.7481445910658608,0.7132683276378031,0.8934306569343066,0.8319672131147541,0.8616041860997354,8,True,False,True,False,False,True,fr,data/event2018.tsv,annotated,False,False,,tfidf_dataset,4352,cosine,,,,,
16867.0,4.315527361119345,21.302952124139395,1.0,1.0,718.0,0.3,0.9387033652304076,0.5321564152187941,0.6256409263803583,0.9584775086505192,0.8884297520661157,0.9221252777369184,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
10847.0,6.71061122891122,36.02872751061654,1.0,1.0,1508.0,0.35,0.8915857755681514,0.6069296670922165,0.6630550605165771,0.932829554995802,0.8574380165289256,0.8935463459397338,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
4104.0,17.73635477582846,116.97816459044782,1.0,1.0,5154.0,0.45,0.8004566643099879,0.7262970855178642,0.6768349215794564,0.8815426997245179,0.7541322314049587,0.8128751631143977,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
2591.0,28.093400231570826,165.7475465522385,1.0,1.0,5674.0,0.5,0.7433570708381229,0.7535006233441458,0.6464403083032155,0.8665511265164645,0.6652892561983471,0.7526987288274262,8,True,False,True,False,True,True,en,data/event2012.tsv,annotated,False,False,sentence-transformers/all-mpnet-base-v2,sbert,2504,cosine,,,,,
